price_date,symbol,asset_type,source_name,open,high,low,close,adjusted_close,volume,currency
2020-07-28,AAPL,equity,yahoo,94.36750030517578,94.55000305175781,93.24749755859375,93.25250244140625,90.37287139892578,103625600.0,USD
2020-07-29,AAPL,equity,yahoo,93.75,95.2300033569336,93.7125015258789,95.04000091552734,92.10516357421875,90329200.0,USD
2020-07-30,AAPL,equity,yahoo,94.1875,96.29750061035156,93.76750183105469,96.19000244140625,93.21966552734375,158130000.0,USD
2020-07-31,AAPL,equity,yahoo,102.88500213623047,106.41500091552734,100.82499694824219,106.26000213623047,102.97869873046875,374336800.0,USD
2020-08-03,AAPL,equity,yahoo,108.19999694824219,111.63749694824219,107.89250183105469,108.9375,105.57351684570312,308151200.0,USD
2020-08-04,AAPL,equity,yahoo,109.13249969482422,110.79000091552734,108.38749694824219,109.66500091552734,106.27855682373047,173071600.0,USD
2020-08-05,AAPL,equity,yahoo,109.37750244140625,110.39250183105469,108.89749908447266,110.0625,106.66376495361328,121776800.0,USD
2020-08-06,AAPL,equity,yahoo,110.40499877929688,114.4124984741211,109.79750061035156,113.90249633789062,110.38517761230469,202428800.0,USD
2020-08-07,AAPL,equity,yahoo,113.20500183105469,113.67500305175781,110.2925033569336,111.11250305175781,107.8755111694336,198045600.0,USD
2020-08-10,AAPL,equity,yahoo,112.5999984741211,113.7750015258789,110.0,112.72750091552734,109.44343566894531,212403600.0,USD
2020-08-11,AAPL,equity,yahoo,111.97000122070312,112.48249816894531,109.10749816894531,109.375,106.18860626220703,187902400.0,USD
2020-08-12,AAPL,equity,yahoo,110.49749755859375,113.2750015258789,110.29750061035156,113.01000213623047,109.71770477294922,165598000.0,USD
2020-08-13,AAPL,equity,yahoo,114.43000030517578,116.0425033569336,113.92749786376953,115.01000213623047,111.65946197509766,210082000.0,USD
2020-08-14,AAPL,equity,yahoo,114.83000183105469,115.0,113.04499816894531,114.90750122070312,111.55992889404297,165565200.0,USD
2020-08-17,AAPL,equity,yahoo,116.0625,116.0875015258789,113.9625015258789,114.60749816894531,111.2686767578125,119561600.0,USD
2020-08-18,AAPL,equity,yahoo,114.35250091552734,116.0,114.00749969482422,115.5625,112.19584655761719,105633600.0,USD
2020-08-19,AAPL,equity,yahoo,115.98249816894531,117.1624984741211,115.61000061035156,115.7074966430664,112.33663177490234,145538000.0,USD
2020-08-20,AAPL,equity,yahoo,115.75,118.39250183105469,115.73249816894531,118.2750015258789,114.82933044433594,126907200.0,USD
2020-08-21,AAPL,equity,yahoo,119.26249694824219,124.86750030517578,119.25,124.37000274658203,120.74678039550781,338054800.0,USD
2020-08-24,AAPL,equity,yahoo,128.69749450683594,128.78500366210938,123.9375,125.85749816894531,122.19093322753906,345937600.0,USD
2020-08-25,AAPL,equity,yahoo,124.69750213623047,125.18000030517578,123.05249786376953,124.82499694824219,121.18851470947266,211495600.0,USD
2020-08-26,AAPL,equity,yahoo,126.18000030517578,126.99250030517578,125.0824966430664,126.52249908447266,122.83656311035156,163022400.0,USD
2020-08-27,AAPL,equity,yahoo,127.14250183105469,127.48500061035156,123.8324966430664,125.01000213623047,121.36811828613281,155552400.0,USD
2020-08-28,AAPL,equity,yahoo,126.01249694824219,126.44249725341797,124.57749938964844,124.80750274658203,121.17152404785156,187630000.0,USD
2020-08-31,AAPL,equity,yahoo,127.58000183105469,131.0,126.0,129.0399932861328,125.28072357177734,225702700.0,USD
2020-09-01,AAPL,equity,yahoo,132.75999450683594,134.8000030517578,130.52999877929688,134.17999267578125,130.27098083496094,151948100.0,USD
2020-09-02,AAPL,equity,yahoo,137.58999633789062,137.97999572753906,127.0,131.39999389648438,127.57195281982422,200119000.0,USD
2020-09-03,AAPL,equity,yahoo,126.91000366210938,128.83999633789062,120.5,120.87999725341797,117.35842895507812,257599600.0,USD
2020-09-04,AAPL,equity,yahoo,120.06999969482422,123.69999694824219,110.88999938964844,120.95999908447266,117.43611907958984,332607200.0,USD
2020-09-08,AAPL,equity,yahoo,113.94999694824219,118.98999786376953,112.68000030517578,112.81999969482422,109.53324127197266,231366600.0,USD
2020-09-09,AAPL,equity,yahoo,117.26000213623047,119.13999938964844,115.26000213623047,117.31999969482422,113.90213012695312,176940500.0,USD
2020-09-10,AAPL,equity,yahoo,120.36000061035156,120.5,112.5,113.48999786376953,110.18373107910156,182274400.0,USD
2020-09-11,AAPL,equity,yahoo,114.56999969482422,115.2300033569336,110.0,112.0,108.73713684082031,180860300.0,USD
2020-09-14,AAPL,equity,yahoo,114.72000122070312,115.93000030517578,112.80000305175781,115.36000061035156,111.99925994873047,140150100.0,USD
2020-09-15,AAPL,equity,yahoo,118.33000183105469,118.83000183105469,113.61000061035156,115.54000091552734,112.17401885986328,184642000.0,USD
2020-09-16,AAPL,equity,yahoo,115.2300033569336,116.0,112.04000091552734,112.12999725341797,108.86334228515625,154679000.0,USD
2020-09-17,AAPL,equity,yahoo,109.72000122070312,112.19999694824219,108.70999908447266,110.33999633789062,107.12548065185547,178011000.0,USD
2020-09-18,AAPL,equity,yahoo,110.4000015258789,110.87999725341797,106.08999633789062,106.83999633789062,103.72747039794922,287104900.0,USD
2020-09-21,AAPL,equity,yahoo,104.54000091552734,110.19000244140625,103.0999984741211,110.08000183105469,106.8730697631836,195713800.0,USD
2020-09-22,AAPL,equity,yahoo,112.68000030517578,112.86000061035156,109.16000366210938,111.80999755859375,108.55266571044922,183055400.0,USD
2020-09-23,AAPL,equity,yahoo,111.62000274658203,112.11000061035156,106.7699966430664,107.12000274658203,103.99927520751953,150718700.0,USD
2020-09-24,AAPL,equity,yahoo,105.16999816894531,110.25,105.0,108.22000122070312,105.06726837158203,167743300.0,USD
2020-09-25,AAPL,equity,yahoo,108.43000030517578,112.44000244140625,107.66999816894531,112.27999877929688,109.00896453857422,149981400.0,USD
2020-09-28,AAPL,equity,yahoo,115.01000213623047,115.31999969482422,112.77999877929688,114.95999908447266,111.61090087890625,137672400.0,USD
2020-09-29,AAPL,equity,yahoo,114.55000305175781,115.30999755859375,113.56999969482422,114.08999633789062,110.76625061035156,99382200.0,USD
2020-09-30,AAPL,equity,yahoo,113.79000091552734,117.26000213623047,113.62000274658203,115.80999755859375,112.4361343383789,142675200.0,USD
2020-10-01,AAPL,equity,yahoo,117.63999938964844,117.72000122070312,115.83000183105469,116.79000091552734,113.3875732421875,116120400.0,USD
